VII	5440952	5693951	4
VII	5785952	6337951	2
VII	6498952	8269951	2
VII	8407952	9120951	2
VII	9166952	9557951	2
VII	10040952	10316951	2
VII	10316952	11282951	10
VII	11374952	13743951	10
VII	13904952	15307951	10
VII	15307952	15859951	2
VII	15859952	16503951	10
VII	16710952	17285951	2
VII	17285952	17515951	10
VII	17515952	17630951	2
VII	17630952	17860951	10
VII	17860952	18090951	2
VII	18090952	18435951	10
VII	18435952	18987951	2
VII	18987952	21080951	10
VII	21126952	21747951	10
VII	21747952	22000951	2
VII	22000952	22184951	10
VII	22184952	22299951	1
VII	22299952	22322951	10
VII	22322952	22460951	2
VII	22460952	22598951	10
VII	22598952	23955951	2
VII	23955952	24346951	10
VII	24806952	25266951	10
VII	25266952	25772951	2
VII	25818952	26025951	2
VII	26094952	26485951	2
VII	26485952	27198951	10
VII	27198952	27635951	2
VII	27635952	27750951	10
VII	27750952	27911951	2
I	13598	1508597	10
I	1508598	1807597	1
I	1807598	2451597	10
I	2543598	2635597	7
I	2635598	4728597	10
I	4728598	4866597	1
I	4866598	4912597	10
I	4912598	4935597	1
I	4981598	5602597	10
I	5602598	5763597	1
I	5763598	7718597	10
I	7718598	7810597	12
I	7810598	8224597	10
I	8270598	11214597	10
I	11306598	12663597	10
I	13031598	17608597	10
I	17861598	18896597	10
I	18965598	19172597	10
I	19448598	19885597	10
I	19885598	20828597	7
I	20828598	20920597	6
I	20920598	21288597	7
I	21403598	21748597	7
I	21748598	21863597	6
I	21863598	23404597	7
I	23404598	23473597	6
I	23473598	23979597	7
I	24071598	24370597	7
I	24508598	24830597	7
I	24899598	25060597	1
I	25060598	26233597	7
I	26348598	27038597	7
I	27038598	27199597	8
I	27199598	28142597	7
XIV	13112	9489111	4
XIV	9489112	9604111	2
XIV	9604112	9857111	4
XIV	9926112	10041111	11
XIV	10041112	12134111	4
XIV	12364112	12571111	4
XIV	12617112	13583111	4
XIV	13652112	15170111	4
XIII	22558	3219557	4
XIII	3219558	3265557	3
XIII	3265558	5312557	4
XIII	5381558	6692557	4
XIII	6761558	7750557	4
XIII	7842558	10809557	4
XIII	10947558	15064557	4
XIII	15225558	20078557	4
II	21805	1079804	8
II	1263805	1700804	8
II	1792805	2068804	8
II	2160805	2528804	8
II	2528805	2574804	7
II	2574805	2758804	8
II	2988805	3126804	8
II	3126805	3172804	4
II	3172805	3977804	8
II	4069805	5035804	8
II	5035805	5127804	6
II	5127805	5978804	8
II	5978805	6783804	7
II	7013805	7243804	7
II	7289805	7496804	7
II	7496805	7542804	10
II	7542805	8186804	7
II	8186805	10877804	8
II	10992805	12418804	8
II	12487805	12970804	8
II	12970805	13016804	11
II	13016805	13154804	6
II	13269805	13683804	11
II	13683805	14511804	6
II	14511805	14695804	8
II	14695805	14879804	6
II	14879805	18168804	8
II	18214805	21733804	8
II	21733805	21825804	6
II	21825805	23297804	8
XIX	22486	1954485	8
XIX	2000486	2322485	8
XIX	2322486	2345485	5
XIX	2345486	2506485	8
XIX	2506486	2529485	5
XIX	2529486	3863485	8
XIX	4024486	4438485	8
XIX	4438486	6209485	12
XIX	6209486	8693485	8
XIX	8693486	8831485	12
XIX	8831486	9567485	8
XIX	9567486	10027485	12
XIX	10027486	10096485	8
XIX	10096486	10625485	12
XIX	10625486	10717485	8
XIX	10717486	11039485	12
XIX	11039486	11315485	8
XIX	11315486	11890485	12
XIX	11890486	14788485	8
XIX	14788486	15409485	12
XIX	15409486	15570485	8
XIX	15570486	16881485	12
XIX	16881486	17755485	8
XIX	17755486	18422485	12
XIX	18468486	18859485	12
XIX	18859486	19158485	8
XIX	19388486	19503485	12
XIX	19503486	20216485	8
XII	82357	3325356	3
XII	3463357	4636356	3
XII	4981357	14043356	3
XII	14112357	16320356	3
XII	16366357	17102356	3
XII	17102357	17125356	4
XII	17125357	17608356	3
XII	17608357	17700356	5
XII	17700357	17815356	4
XII	17815357	18344356	3
XVII	17504	7538503	3
XVII	7676504	7837503	2
XVII	7837504	8228503	4
XVII	8320504	8619503	4
XVII	8619504	8757503	2
XVII	8757504	12920503	3
XVII	13012504	13334503	3
XVII	13380504	14599503	3
VIII	25689	4188688	1
VIII	4257689	9984688	1
VIII	10122689	11134688	1
VIII	11180689	12284688	1
VIII	12353689	17666688	1
VIII	17666689	18287688	7
VIII	18287689	18517688	2
VIII	18517689	18609688	1
VIII	18609689	18839688	2
VIII	18839689	19368688	1
XXI	139973	415972	1
XXI	461973	944972	1
XXI	1197973	3198972	1
XXI	3681973	4072972	1
XXI	4164973	7729972	1
XXI	7729973	7775972	7
XXI	7775973	11708972	1
III	45821	137820	7
III	137821	275820	1
III	275821	459820	7
III	459821	2644820	1
III	2644821	2736820	10
III	2736821	3380820	1
III	3472821	3679820	1
III	3725821	4691820	1
III	4760821	6554820	1
III	6554821	6669820	9
III	6669821	7842820	1
III	7842821	8026820	7
III	8026821	11683820	1
III	11729821	11959820	1
III	12028821	14627820	1
III	14742821	15363820	1
III	15685821	16789820	1
